,Date,Open,High,Low,Close,DeltaSP500,DeltaSP500-CUM,Delta%-SP500,Delta%-SP500-CUM
61,1928-03-29,18.95,18.95,18.95,18.95,0.05999999999999872,1.2899999999999991,0.003176283748014755,0.0721392379163616
62,1928-03-30,19.28,19.28,19.28,19.28,0.33000000000000185,1.620000000000001,0.01741424802110828,0.08955348593746988
63,1928-04-02,18.91,18.91,18.91,18.91,-0.370000000000001,1.25,-0.019190871369294656,0.07036261456817522
64,1928-04-03,19.02,19.02,19.02,19.02,0.10999999999999943,1.3599999999999994,0.005817028027498648,0.07617964259567386
65,1928-04-04,18.99,18.99,18.99,18.99,-0.030000000000001137,1.3299999999999983,-0.0015772870662461166,0.07460235552942775
66,1928-04-05,19.23,19.23,19.23,19.23,0.240000000000002,1.5700000000000003,0.012638230647709426,0.08724058617713717
67,1928-04-09,19.27,19.27,19.27,19.27,0.03999999999999915,1.6099999999999994,0.0020800832033280887,0.08932066938046526
68,1928-04-10,19.1,19.1,19.1,19.1,-0.16999999999999815,1.4400000000000013,-0.008822003113648062,0.0804986662668172
69,1928-04-11,19.44,19.44,19.44,19.44,0.33999999999999986,1.7800000000000011,0.01780104712041884,0.09829971338723605
70,1928-04-12,19.41,19.41,19.41,19.41,-0.030000000000001137,1.75,-0.0015432098765432683,0.09675650351069277
71,1928-04-13,19.73,19.73,19.73,19.73,0.3200000000000003,2.0700000000000003,0.016486347243688835,0.1132428507543816
72,1928-04-16,19.68,19.68,19.68,19.68,-0.05000000000000071,2.0199999999999996,-0.002534211860111541,0.11070863889427006
73,1928-04-17,19.52,19.52,19.52,19.52,-0.16000000000000014,1.8599999999999994,-0.008130081300813016,0.10257855759345705
74,1928-04-18,19.52,19.52,19.52,19.52,0.0,1.8599999999999994,0.0,0.10257855759345705
75,1928-04-19,19.63,19.63,19.63,19.63,0.10999999999999943,1.9699999999999989,0.005635245901639315,0.10821380349509636
76,1928-04-20,19.34,19.34,19.34,19.34,-0.28999999999999915,1.6799999999999997,-0.014773306164034598,0.09344049733106177
77,1928-04-23,19.15,19.15,19.15,19.15,-0.19000000000000128,1.4899999999999984,-0.009824198552223438,0.08361629877883833
78,1928-04-24,19.25,19.25,19.25,19.25,0.10000000000000142,1.5899999999999999,0.005221932114882581,0.08883823089372092
79,1928-04-25,19.33,19.33,19.33,19.33,0.0799999999999983,1.6699999999999982,0.004155844155844067,0.09299407504956499
80,1928-04-26,19.47,19.47,19.47,19.47,0.14000000000000057,1.8099999999999987,0.007242628039317154,0.10023670308888213
81,1928-04-27,19.68,19.68,19.68,19.68,0.21000000000000085,2.0199999999999996,0.010785824345146423,0.11102252743402856
82,1928-04-30,19.75,19.75,19.75,19.75,0.07000000000000028,2.09,0.0035569105691057056,0.11457943800313426
83,1928-05-01,19.78,19.78,19.78,19.78,0.030000000000001137,2.120000000000001,0.0015189873417722096,0.11609842534490647
84,1928-05-02,19.83,19.83,19.83,19.83,0.04999999999999716,2.169999999999998,0.002527805864509462,0.11862623120941593
85,1928-05-03,19.93,19.93,19.93,19.93,0.10000000000000142,2.2699999999999996,0.005042864346949139,0.12366909555636507
86,1928-05-04,20.24,20.24,20.24,20.24,0.3099999999999987,2.5799999999999983,0.015554440541896574,0.13922353609826166
87,1928-05-07,20.41,20.41,20.41,20.41,0.1700000000000017,2.75,0.008399209486166093,0.14762274558442776
88,1928-05-08,20.27,20.27,20.27,20.27,-0.14000000000000057,2.6099999999999994,-0.006859382655561027,0.14076336292886674
89,1928-05-09,20.24,20.24,20.24,20.24,-0.030000000000001137,2.5799999999999983,-0.001480019733596504,0.13928334319527022
90,1928-05-10,20.21,20.21,20.21,20.21,-0.029999999999997584,2.5500000000000007,-0.0014822134387350587,0.13780112975653516
91,1928-05-11,20.36,20.36,20.36,20.36,0.14999999999999858,2.6999999999999993,0.0074220682830281335,0.1452231980395633
92,1928-05-14,20.44,20.44,20.44,20.44,0.08000000000000185,2.780000000000001,0.003929273084479462,0.14915247112404276
93,1928-05-15,20.39,20.39,20.39,20.39,-0.05000000000000071,2.7300000000000004,-0.0024461839530333027,0.14670628717100945
94,1928-05-16,20.05,20.05,20.05,20.05,-0.33999999999999986,2.3900000000000006,-0.01667484060814124,0.13003144656286822
95,1928-05-17,20.12,20.12,20.12,20.12,0.07000000000000028,2.460000000000001,0.0034912718204488918,0.1335227183833171
96,1928-05-18,19.92,19.92,19.92,19.92,-0.1999999999999993,2.2600000000000016,-0.009940357852882668,0.12358236053043445
97,1928-05-21,19.63,19.63,19.63,19.63,-0.2900000000000027,1.9699999999999989,-0.014558232931727042,0.1090241275987074
98,1928-05-22,19.36,19.36,19.36,19.36,-0.2699999999999996,1.6999999999999993,-0.013754457463066713,0.0952696701356407
99,1928-05-23,19.75,19.75,19.75,19.75,0.39000000000000057,2.09,0.020144628099173584,0.11541429823481428
100,1928-05-24,19.87,19.87,19.87,19.87,0.120000000000001,2.210000000000001,0.006075949367088658,0.12149024760190294
101,1928-05-25,19.9,19.9,19.9,19.9,0.029999999999997584,2.2399999999999984,0.0015098137896324903,0.12300006139153544
102,1928-05-28,19.57,19.57,19.57,19.57,-0.3299999999999983,1.9100000000000001,-0.016582914572864236,0.1064171468186712
103,1928-05-29,19.82,19.82,19.82,19.82,0.25,2.16,0.012774655084312723,0.11919180190298392
104,1928-05-31,20.0,20.0,20.0,20.0,0.17999999999999972,2.34,0.009081735620585252,0.12827353752356918
105,1928-06-01,20.07,20.07,20.07,20.07,0.07000000000000028,2.41,0.0035000000000000144,0.13177353752356918
106,1928-06-04,19.8,19.8,19.8,19.8,-0.2699999999999996,2.1400000000000006,-0.013452914798206256,0.11832062272536292
107,1928-06-05,19.85,19.85,19.85,19.85,0.05000000000000071,2.1900000000000013,0.002525252525252561,0.12084587525061548
108,1928-06-06,19.66,19.66,19.66,19.66,-0.19000000000000128,2.0,-0.0095717884130983,0.11127408683751717
109,1928-06-07,19.61,19.61,19.61,19.61,-0.05000000000000071,1.9499999999999993,-0.002543234994913566,0.10873085184260362
110,1928-06-08,19.37,19.37,19.37,19.37,-0.23999999999999844,1.7100000000000009,-0.01223865374808763,0.09649219809451598
111,1928-06-11,18.68,18.68,18.68,18.68,-0.6900000000000013,1.0199999999999996,-0.035622096024780656,0.060870102069735324
112,1928-06-12,18.34,18.34,18.34,18.34,-0.33999999999999986,0.6799999999999997,-0.018201284796573867,0.042668817273161457
113,1928-06-13,18.89,18.89,18.89,18.89,0.5500000000000007,1.2300000000000004,0.0299890948745911,0.07265791214775255
114,1928-06-14,19.05,19.05,19.05,19.05,0.16000000000000014,1.3900000000000006,0.008470089994706201,0.08112800214245876
115,1928-06-15,18.74,18.74,18.74,18.74,-0.3100000000000023,1.0799999999999983,-0.01627296587926521,0.06485503626319356
